"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","906","Valid login","chromium","2026-03-20","passed","2026-03-20","","login.spec.js","",""
"","928","Validation product","chromium","2026-03-20","passed","2026-03-20","","product.spec.js","",""
